ID	name	location	rest_type	type
10259	Tasty Bytes	Kumaraswamy Layout	Quick Bites	Delivery
10259	Petoo	Banashankari	Quick Bites	Delivery
10260	Shree Cool Point	Vijay Nagar	Quick Bites	Delivery
10260	Corner House Ice Cream	Banashankari	Dessert Parlor	Delivery
10261	Biryanis And More	Jayanagar	Casual Dining	Delivery
10261	Roving Feast	Banashankari	Quick Bites	Delivery
10262	FreshMenu	Banashankari	Delivery	Delivery
10262	Banashankari Donne Biriyani	Banashankari	Quick Bites	Delivery
10263	Wamama	Banashankari	Casual Dining	
10263	Five Star Chicken	Banashankari	Quick Bites	Delivery
10264	XO Belgian Waffle	Banashankari	Dessert Parlor	Delivery
10264	Peppy Peppers	Banashankari	Casual Dining	
10265	Goa 0 Km	Kumaraswamy Layout	Casual Dining	Delivery
10265	Chinese Kitchen	Basavanagudi	Quick Bites	Delivery
10266	1947	Banashankari	Casual Dining	Delivery
10266	Cake of the Day	Banashankari	Bakery, Dessert Parlor	Delivery
10267	Kabab Magic	Basavanagudi	Quick Bites	Delivery
10267	Namma Brahmin's Idli	Jayanagar	Quick Bites	Delivery
10268	Gustoes Beer House	Banashankari	Pub	Delivery
10268	Sugar Rush	Banashankari	Bakery	Delivery
10269	Burger King	Basavanagudi	Quick Bites	Delivery
10269	The Good Bowl	Banashankari	Takeaway, Delivery	Delivery
10270	The Biryani Cafe	Banashankari	Quick Bites	Delivery
10270	Spicy Tandoor	Banashankari	Quick Bites	Delivery
10271	LSD Cafe	Banashankari	Delivery	
10271	Rolls On Wheels	Banashankari	Quick Bites	Delivery
10272	Om Sri Vinayaka Chats	Banashankari	Takeaway, Delivery	Delivery
10272	Sri Guru Kottureshwara Davangere Benne Dosa	Basavanagudi	Quick Bites	Delivery
10273	Devanna Dum Biriyani Centre	Banashankari	Quick Bites	Delivery
10273	Kolbeh	Banashankari	Quick Bites	Delivery
10274	Upahar Sagar	Banashankari	Quick Bites	Delivery
10274	Kadalu Sea Food Restaurant	Vijay Nagar	Fine Dining	Delivery
10275	Frozen Bottle	Banashankari	Beverage Shop	Delivery
10275	Parimala Sweets	Banashankari	Sweet Shop	Delivery
10276	Vaishali Deluxe	Banashankari	Casual Dining	Delivery
10276	The Big O Bakes	Banashankari	Bakery	Delivery
10277	Meghana Foods	Jayanagar	Casual Dining	Delivery
10277	Krishna Sagar	Banashankari	Quick Bites	Delivery
10278	Dessert Rose	Banashankari	Dessert Parlor	Delivery
10278	Chickpet Donne Biryani House	Banashankari	Quick Bites	Delivery
10279	Thanco's Natural Ice Creams	Banashankari	Dessert Parlor	Delivery
10279	Nandhini Deluxe	Banashankari	Casual Dining	Delivery
10280	Vi Ra's Bar and Restaurant	Banashankari	Bar	Delivery
10280	Kaggis	Banashankari	Quick Bites	Delivery
10281	Ayda Persian Kitchen	Banashankari	Casual Dining	Delivery
10281	Chatar Patar	Banashankari	Quick Bites	Delivery
10282	Polar Bear	Basavanagudi	Dessert Parlor	Delivery
10282	Kidambi's Kitchen	Banashankari	Quick Bites	Delivery
10283	Mane Thindi	Banashankari	Quick Bites	Delivery
10283	Kotian Karavali Restaurant	Banashankari	Quick Bites	Delivery
10284	Floured-Baked With Love	Banashankari	Takeaway, Delivery	Delivery
10284	CAFE NOVA	Banashankari	Cafe	Delivery
10285	Cakes & Slices	Banashankari	Bakery	Delivery
10285	Spice 9	Banashankari	Quick Bites	Delivery
10286	Naveen Kabab & Biriyani Mane	Banashankari	Quick Bites	Delivery
10286	Katriguppe Donne Biryani	Banashankari	Quick Bites	Delivery
10287	Hari Super Sandwich	Banashankari	Takeaway, Delivery	Delivery
10287	Atithi Point Ande Ka Funda	Banashankari	Quick Bites	Delivery
10288	Just Bake	Banashankari	Bakery	Delivery
10288	K27 - The Pub	Banashankari	Bar	Delivery
10289	Bengaluru Coffee House	Banashankari	Quick Bites	Delivery
10289	New Mangalore Lunch Home	Banashankari	Quick Bites	Delivery
10290	Coffee Bytes	Banashankari	Quick Bites	Delivery
10290	Parjanya Chat Zone	Banashankari	Quick Bites	Delivery
10291	Kwality Wall's Swirl's Happiness Station	Banashankari	Dessert Parlor	Delivery
10291	Ruchi Maayaka	Banashankari	Delivery	Delivery
10292	Roll Magic Fast Food	Banashankari	Takeaway, Delivery	Delivery
10292	Foodlieious Multi Cuisine	Banashankari	Quick Bites	Delivery
10293	Thanishka Nati And Karavali Style	Banashankari	Quick Bites	Delivery
10293	Melting Melodies	Banashankari	Takeaway, Delivery	Delivery
10294	New Indraprasta	Banashankari	Quick Bites	Delivery
10294	Anna Kuteera	Banashankari	Casual Dining	Delivery
10295	Darbar	Banashankari	Bar	Delivery
10295	Vijayalakshmi	Basavanagudi	Quick Bites	Delivery
10296	Sri Udupi Food Hub	Jayanagar	Casual Dining	Delivery
10296	Udupi Upahar	Banashankari	Quick Bites	Delivery
10297	House Of Kebabs	Basavanagudi	Casual Dining	Delivery
10297	Roll N Rock	Kumaraswamy Layout	Quick Bites	Delivery
10298	BOX8- Desi Meals	Banashankari	Takeaway, Delivery	Delivery
10298	KFC	Banashankari	Quick Bites	Delivery
10299	Bitez	Banashankari	Quick Bites	Delivery
10299	Roll Over	Jayanagar	Dessert Parlor	Delivery
10300	Imperial Restaurant	Mysore Road	Casual Dining	Delivery
10300	Lassi Shop	Kumaraswamy Layout	Beverage Shop	Delivery
10301	The Fortuna	Kumaraswamy Layout	Quick Bites	Delivery
10301	Wahab	Jayanagar	Quick Bites	Delivery
10302	Al Diwan Biryanis And More	Basavanagudi	Takeaway, Delivery	Delivery
10302	New Gowda's Fried Chicken	Banashankari	Quick Bites	Delivery
10303	Canton	Jayanagar	Casual Dining	Delivery
10303	Diabetics Dezire Sugarless Sweets and Bakes	Basavanagudi	Dessert Parlor, Sweet Shop	Delivery
10304	The Blue Wagon - Kitchen	Jayanagar	Cafe	Delivery
10304	HOT COFFEE	Basavanagudi	Quick Bites	Delivery
10305	Patio 805	Jayanagar	Casual Dining	Delivery
10305	Lassi Corner	Basavanagudi	Beverage Shop	Delivery
10306	Sagar Deluxe	Kumaraswamy Layout	Quick Bites	Delivery
10306	Kanti Sweets	Banashankari	Sweet Shop	Delivery
10307	Vegetalia	Banashankari	Takeaway, Delivery	Delivery
10307	Aramane Donne Biryani	Banashankari	Quick Bites	Delivery
10308	Ande Ka Funda	Banashankari	Quick Bites	Delivery
10308	Cake Ghar	Basavanagudi	Bakery	Delivery
10309	Energy Addaa	Basavanagudi	Quick Bites	Delivery
10309	Bhattara Bhojana	Banashankari	Quick Bites	Delivery
10310	Tandoori Knight	Banashankari	Quick Bites	Delivery
10310	Dev Sagar - Food Street	Basavanagudi	Quick Bites	Delivery
10311	Mitraa Da Pizza	Kumaraswamy Layout	Quick Bites	Delivery
10311	Paradise Premium	Banashankari	Casual Dining	Delivery
10312	Grazers	Jayanagar	Cafe	Delivery
10312	Shakes Theory	Jayanagar	Beverage Shop	Delivery
10313	@Italy	Kumaraswamy Layout	Casual Dining	Delivery
10313	Chilli Flakes	Banashankari	Quick Bites	Delivery
10314	Calcutta Cafe	Kumaraswamy Layout	Quick Bites	Delivery
10314	Old Mumbai Ice Cream	Banashankari	Dessert Parlor	Delivery
10315	Donne Biriyani House	Banashankari	Quick Bites	Delivery
10315	By 2 Coffee	Basavanagudi	Quick Bites	Delivery
10316	Kedia's Fun Food	Jayanagar	Quick Bites	Delivery
10316	Davangere Butter Dosa Hotel	Kumaraswamy Layout	Quick Bites	Delivery
10317	Just Shawarma	Kumaraswamy Layout	Quick Bites	Delivery
10317	Mini Punjabi Dhaba	Banashankari	Quick Bites	Delivery
10318	Mulabagilu Dosa	Basavanagudi	Quick Bites	Delivery
10318	CafDown The Alley	Banashankari	Cafe	Delivery
10319	Gokul Veg	Basavanagudi	Casual Dining	Delivery
10319	Olive - Era	Kumaraswamy Layout	Casual Dining	Delivery
10320	Udupi Ruchi	Banashankari	Quick Bites	Delivery
10320	Madhappa Hindu Military Hotel	Banashankari	Quick Bites	Delivery
10321	Gama Gama	Banashankari	Quick Bites	Delivery
10321	The Vintage Cafe	Banashankari	Cafe	Delivery
10322	Pizza Hut	Banashankari	Casual Dining	Delivery
10322	Mangalore Pearl	Jayanagar	Casual Dining	Delivery
10323	Asha Sweets Centre	Basavanagudi	Dessert Parlor	Delivery
10323	Twiststick House	Basavanagudi	Quick Bites	Delivery
10324	Cool Corner	Basavanagudi	Quick Bites	Delivery
10324	Pizza Mane	Banashankari	Quick Bites	Delivery
10325	Dal Tadkaa	Banashankari	Casual Dining	
10325	Chutney Chang	Jayanagar	Casual Dining	Delivery
10326	Mystique Palate	Jayanagar	Quick Bites	Delivery
10326	Thamboola	Banashankari	Casual Dining	Delivery
10327	Castle Rock	Uttarahalli	Casual Dining	Delivery
10327	Vietnamese Kitchen	Banashankari	Casual Dining	Delivery
10328	Smacznego	Banashankari	Cafe	Delivery
10328	C Corner	Kumaraswamy Layout	Quick Bites	Delivery
10329	Paratha Merchant	Kumaraswamy Layout	Quick Bites	Delivery
10329	North Rasoe	Kumaraswamy Layout	Casual Dining	Delivery
10330	Toscano	Jayanagar	Casual Dining	Delivery
10330	Lord Of The Kitchen	Kumaraswamy Layout	Quick Bites	Delivery
10331	Stoned Monkey	Banashankari	Dessert Parlor	Delivery
10331	Central Jail Restaurant	Jayanagar	Casual Dining	Delivery
10332	Bella	Jayanagar	Casual Dining	Delivery
10332	Vennela Andhra Meals	Jayanagar	Quick Bites	Delivery
10333	New Prashanth Hotel	Jayanagar	Casual Dining	Delivery
10333	The Grillo	Jayanagar	Casual Dining	Delivery
10334	Re Malnad Nati Style Hotel	JP Nagar	Casual Dining	Delivery
10334	Karma Kaapi	Jayanagar	Beverage Shop	Delivery
10335	Tiwari's	Jayanagar	Quick Bites	Delivery
10335	Pizza Stop	Basavanagudi	Quick Bites	Delivery
10336	Biggies Burger 'n' More	Kumaraswamy Layout	Quick Bites	Delivery
10336	Srinathji's Cafe	Basavanagudi	Casual Dining, Cafe	Delivery
10337	Kollapuri's	Basavanagudi	Quick Bites	Delivery
10337	Kadamba Classic	Mysore Road	Quick Bites	Delivery
10338	RS Shiv Sagar	Basavanagudi	Casual Dining	Delivery
10338	Kholi Mane	Basavanagudi	Quick Bites	Delivery
10339	Harshi Super Sandwich	Basavanagudi	Quick Bites	Delivery
10339	Cake Yard	Basavanagudi	Dessert Parlor	Delivery
10340	Rosewood International Hotel - Bar & Restaurant	Mysore Road	Casual Dining	Delivery
10340	Sri Udupi Veg	Jayanagar	Quick Bites	Delivery
10341	Cake Art	Basavanagudi	Bakery, Quick Bites	Delivery
10341	Potato House	Uttarahalli	Quick Bites	Delivery
10342	Matru Sagar	Mysore Road	Quick Bites	Delivery
10342	Ugadi	Jayanagar	Casual Dining	
10343	Sri Krishna Sweets	Basavanagudi	Sweet Shop	Delivery
10343	In Time Cane Juice	Kumaraswamy Layout	Beverage Shop	Delivery
10344	Subway	Banashankari	Quick Bites	Delivery
10344	Daal Roti	Kumaraswamy Layout	Quick Bites	Delivery
10345	The Lassi Park	Jayanagar	Quick Bites	Delivery
10345	Cafe Coffee Day	Jayanagar	Cafe	Delivery
10346	A2B - Adyar Ananda Bhavan	Mysore Road	Casual Dining	Delivery
10346	Srikrishna Bhavan	Banashankari	Quick Bites	Delivery
10347	Timepass Dinner	Basavanagudi	Casual Dining	Delivery
10347	Green Gardenia	Banashankari	Casual Dining	Delivery
10348	J Spice	Banashankari	Casual Dining	Delivery
10348	Karavali Family Restaurant	Jayanagar	Casual Dining	Delivery
10349	Karavali Lunch Home	Kumaraswamy Layout	Quick Bites	Delivery
10349	Hatti Kaapi	Jayanagar	Quick Bites	Delivery
10350	Kolkata Kathi Roll's	Banashankari	Quick Bites	Delivery
10350	Upahara Darshini	Basavanagudi	Casual Dining	Delivery
10351	The Chaat Shop	Basavanagudi	Quick Bites	Delivery
10351	Anda Ka Funda	Jayanagar	Quick Bites	Delivery
10352	Shri Vinayaka Ice N Juice	Basavanagudi	Quick Bites	Delivery
10352	My Tea House	Banashankari	Quick Bites, Cafe	Delivery
10353	Ibaco	Jayanagar	Dessert Parlor	Delivery
10353	Jalaram Sweets	Jayanagar	Sweet Shop	Delivery
10354	Samskruti - Sanman Gardenia	Jayanagar	Casual Dining	Delivery
10354	Bendakaluru Bytes	Vijay Nagar	Quick Bites	Delivery
10355	Cocoa Bakes	Banashankari	Bakery	Delivery
10355	Chumma Delicious	Banashankari	Quick Bites	Delivery
10356	New Prashanth Hotel	Banashankari	Casual Dining	Delivery
10356	SSV Upahar	Jayanagar	Quick Bites	Delivery
10357	Dwaraka Grand	Kumaraswamy Layout	Casual Dining	Delivery
10357	Gufha - The President Hotel	Jayanagar	Casual Dining	Delivery
10358	Cafe Vivacity	Banashankari	Cafe	Delivery
10358	Tanna's Kitchen	Kumaraswamy Layout	Quick Bites	Delivery
10359	Shree Mandarathi Grand	Uttarahalli	Casual Dining	Delivery
10359	Mojo Pizza - 2X Toppings	Banashankari	Delivery	Delivery
10360	Iceberg Icecreams	Basavanagudi	Dessert Parlor	Delivery
10360	South Kitchen	Basavanagudi	Quick Bites	Delivery
10361	Chung Wah	Jayanagar	Casual Dining	Delivery
10361	Shanthi Sagar	Uttarahalli	Casual Dining	Delivery
10362	Millet Mama	Basavanagudi	Quick Bites	Delivery
10362	Bangarpet Chat Express	Basavanagudi	Quick Bites	Delivery
10363	Prems Graama Bhojanam	Jayanagar	Casual Dining	Delivery
10363	Java City	Jayanagar	Cafe	Delivery
10364	Kamat Bugle Rock	Basavanagudi	Quick Bites	Delivery
10364	Woodee Pizza	Banashankari	Cafe	Delivery
10365	Puliyogare Point	Basavanagudi	Quick Bites	Delivery
10365	Bangalore Agarwal Bhavan	Jayanagar	Quick Bites	Delivery
10366	Rustic Stove	Jayanagar	Casual Dining	Delivery
10366	Udupi Ruchi Grand	Banashankari	Quick Bites	Delivery
10367	De Thaali	Jayanagar	Casual Dining	Delivery
10367	Spice Elephant	Banashankari	Casual Dining	Delivery
10368	Just Thindi	Basavanagudi	Quick Bites	Delivery
10368	Matru Sagar	Banashankari	Quick Bites	Delivery
10369	Vasanth Vihar - Since 1965	Banashankari	Quick Bites	Delivery
10369	Sea Spice by 7 Star	Banashankari	Casual Dining	Delivery
10370	Desi Dawat	Kumaraswamy Layout	Quick Bites	Delivery
10370	Cafe Aira	Basavanagudi	Cafe	Delivery
10371	Penthouse Cafe	Banashankari	Cafe	Delivery
10371	Mast Punjabi	Kumaraswamy Layout	Quick Bites	
10372	South Grand	Uttarahalli	Casual Dining	Delivery
10372	Catch-up-ino	Banashankari	Cafe	Delivery
10373	The Pizzeria	Banashankari	Casual Dining	Delivery
10373	Cafe Zone	Kumaraswamy Layout	Quick Bites	Delivery
10374	Ruchis Point	Banashankari	Quick Bites	Delivery
10374	Firangi Bake	Rajarajeshwari Nagar	Delivery	Delivery
10375	The Royal Corner - Pai Viceroy	Jayanagar	Casual Dining	Delivery
10375	Hara Fine Dine	Banashankari	Casual Dining	Delivery
10376	Chocoberry	Jayanagar	Dessert Parlor	Delivery
10376	Dakshin Grand	Banashankari	Quick Bites	Delivery
10377	Sandwichwallas	Jayanagar	Quick Bites	Delivery
10377	Chai Mane	Basavanagudi	Quick Bites	Delivery
10378	SLV Upachar	Kumaraswamy Layout	Quick Bites	Delivery
10378	Waffle-A-Go Go	Banashankari	Dessert Parlor	Delivery
10379	Cross Road Cafe	Jayanagar	Cafe	Delivery
10379	Anand Donne Biriyani	Jayanagar	Quick Bites	Delivery
10380	Seven Star	Banashankari	Quick Bites	Delivery
10380	Stop 'N' Joy	Banashankari	Quick Bites	Delivery
10381	Sri Yaksha Shiv Sagar	Banashankari	Casual Dining	Delivery
10381	Fudge	Basavanagudi	Dessert Parlor	Delivery
10382	Just Bunny	Jayanagar	Quick Bites	Delivery
10382	Bakers Town	Kumaraswamy Layout	Cafe	Delivery
10383	Shree Mahalakshmi Sweets	Banashankari	Sweet Shop	Delivery
10383	Kaapi Kendra	Jayanagar	Quick Bites	Delivery
10384	Ivy	Kumaraswamy Layout	Casual Dining	Delivery
10384	The Airos	Jayanagar	Cafe	Delivery
10385	Chai Kraft	Jayanagar	Beverage Shop	Delivery
10385	Kirthi's Biryani	Banashankari	Cafe	Delivery
10386	South Point Pub	Basavanagudi	Bar	Delivery
10386	The Trundle	Jayanagar	Casual Dining	Delivery
10387	The Krishna Grand Xpress	Jayanagar	Quick Bites	Delivery
10387	Sri Krishna Darshini	Basavanagudi	Quick Bites	Delivery
10388	Shringar Sweets & Snacks	Basavanagudi	Sweet Shop, Quick Bites	Delivery
10388	Udupi Grand	Basavanagudi	Quick Bites	Delivery
10389	Ganesh Grand	Basavanagudi	Quick Bites	Delivery
10389	Shreyas Upahar & Burger Point	Basavanagudi	Quick Bites	Delivery
10390	Coffee Tindi	Banashankari	Cafe, Quick Bites	Delivery
10390	Little Cafe	Basavanagudi	Cafe	Delivery
10391	Mumbai Badam Milk & Lassi Center	Basavanagudi	Kiosk	Delivery
10391	Sri Krishna Sagar	Banashankari	Casual Dining	Delivery
10392	Mylari Biryani Family Restaurant	Banashankari	Quick Bites	Delivery
10392	1980s Games Cafe	Basavanagudi	Cafe	Delivery
10393	Kadala Tarangaa	Banashankari	Casual Dining	
10393	Namma Biryani	Banashankari	Quick Bites	Delivery
10394	Nandhanu's Rasoi	Kumaraswamy Layout	Quick Bites	Delivery
10394	Hotel Pork Paradise	Mysore Road	Quick Bites	Delivery
10395	As On Fire	South Bangalore	Food Truck	Delivery
10395	J K Fish Land	Jayanagar	Quick Bites	Delivery
10396	Curry Leaves	Basavanagudi	Casual Dining	Delivery
10396	Lassi Shop	Banashankari	Beverage Shop	Delivery
10397	Magic Meals	Jayanagar	Quick Bites, Dessert Parlor	Delivery
10397	Desi Cream Junction	Jayanagar	Casual Dining	Delivery
10398	Drunken Monkey	Kumaraswamy Layout	Beverage Shop, Quick Bites	Delivery
10398	Ruchi's Corner	Banashankari	Quick Bites	Delivery
10399	Tandoori Bytes	Kumaraswamy Layout	Casual Dining	Delivery
10399	Bangalore Donne Biriyani	Kumaraswamy Layout	Quick Bites	Delivery
10400	SGS Non Veg - Gundu Pulav	Banashankari	Quick Bites	Delivery
10400	Keventers	Banashankari	Beverage Shop, Dessert Parlor	Delivery
10401	Navi Food Point	Basavanagudi	Quick Bites	Delivery
10401	Shawarma Inc	Banashankari	Takeaway	Delivery
10402	The Cafe Nuts and Bolts	Kumaraswamy Layout	Cafe	Delivery
10402	AM WOW	Jayanagar	Beverage Shop	Delivery
10403	Lalbagh Grand	Basavanagudi	Quick Bites	Delivery
10403	Funjabi Curries	Banashankari	Quick Bites	Delivery
10404	Eat Repeat	Basavanagudi	Quick Bites	Delivery
10404	Salut	Jayanagar	Pub, Casual Dining	Delivery
10405	Nammura Donne Biriyani	Basavanagudi	Quick Bites	Delivery
10405	Lassi Stop	Banashankari	Beverage Shop, Quick Bites	Delivery
10406	Dakshin Kitchen	Basavanagudi	Quick Bites	Delivery
10406	Sri Sai Cafe	Basavanagudi	Quick Bites	Delivery
10407	Sri Sai 99 Variety Dosa	Banashankari	Quick Bites	Delivery
10407	Utsav Restaurant	Banashankari	Quick Bites	Delivery
10408	Crunch and Munch	Uttarahalli	Quick Bites	Delivery
10408	Food Geek	Basavanagudi	Quick Bites	Delivery
10409	Sri Krishna Aramane	Kumaraswamy Layout	Quick Bites	Delivery
10409	Great Indian Rolls	Basavanagudi	Quick Bites	Delivery
10410	Chats Point	Basavanagudi	Quick Bites	Delivery
10410	Food Point	Kumaraswamy Layout	Quick Bites	Delivery
10411	Swarga Ruchi	Basavanagudi	Quick Bites	Delivery
10411	Kolkata King	Basavanagudi	Quick Bites	Delivery
10412	Sandwich Mama's And Frozen Monster	Jayanagar	Quick Bites	Delivery
10412	New Rajadhani Spicy	Kumaraswamy Layout	Casual Dining	Delivery
10413	Big Mishra Pedha	Jayanagar	Sweet Shop	Delivery
10413	VEGeatz	Banashankari	Quick Bites	Delivery
10414	Foodizo	Banashankari	Quick Bites	Delivery
10414	Food Springs	Jayanagar	Quick Bites	
10415	Chung's Chinese Corner	Jayanagar	Casual Dining	Delivery
10415	Eurasia Pasta and Barbeque by Little Italy	Jayanagar	Casual Dining, Bar	Delivery
10416	Goli Vada Pav No. 1	Basavanagudi	Quick Bites	Delivery
10416	Ragoo's	Jayanagar	Casual Dining	Delivery
10417	Pure & Natural	Jayanagar	Casual Dining	Delivery
10417	Maiyas	Jayanagar	Quick Bites	Delivery
10418	Sip n Dine	Vijay Nagar	Casual Dining	Delivery
10418	Cafe Mondo	Basavanagudi	Cafe	Delivery
10419	Jalpaan	Jayanagar	Casual Dining	Delivery
10419	Kataria's Pakwan	Kumaraswamy Layout	Quick Bites	
10420	Juicy Momos	Banashankari	Quick Bites	Delivery
10420	Amande Patisserie	Basavanagudi	Bakery	Delivery
10421	Anand Sweets and Savouries	Jayanagar	Sweet Shop	Delivery
10421	Chicken Hunt	Banashankari	Quick Bites	Delivery
10422	Swadesh Tadka	Banashankari	Casual Dining	Delivery
10422	Cane-O-La	Basavanagudi	Quick Bites	Delivery
10423	New Biryani Mane	Uttarahalli	Casual Dining	Delivery
10423	Upahara Darshini	Jayanagar	Quick Bites	Delivery
10424	Karnataka Bhel House	Basavanagudi	Quick Bites	Delivery
10424	Sreeraj Lassi Bar	Jayanagar	Dessert Parlor, Beverage Shop	Delivery
10425	Juice Junction Food Court	Basavanagudi	Quick Bites	Delivery
10425	Bunt's Biriyani Palace	Banashankari	Quick Bites	
10426	Chai Point	Jayanagar	Beverage Shop, Quick Bites	
10426	Janahaar	Banashankari	Quick Bites	Delivery
10427	Redberrys	Basavanagudi	Cafe	Delivery
10427	Utsav	Banashankari	Quick Bites	Delivery
10428	Meat And Eat	Banashankari	Quick Bites	Delivery
10428	Snacks Bite	Kumaraswamy Layout	Quick Bites	Delivery
10429	The Spice Saga	Kumaraswamy Layout	Casual Dining	Delivery
10429	Dakshin Cafe	Kumaraswamy Layout	Quick Bites	Delivery
10430	Kaulige Millet Corner	Basavanagudi	Quick Bites	Delivery
10430	Ifruit Ice Cream	Kumaraswamy Layout	Dessert Parlor	Delivery
10431	Havmor	Basavanagudi	Dessert Parlor	Delivery
10431	Grand Food	Banashankari	Quick Bites, Bakery	Delivery
10432	Dining Hut	Kumaraswamy Layout	Quick Bites	Delivery
10432	Desi Swaad	Kumaraswamy Layout	Quick Bites	Delivery
10433	Yummy Momos	Kumaraswamy Layout	Quick Bites	Delivery
10433	Masale Daan	Banashankari	Delivery	Delivery
10434	Grow Fit	JP Nagar	Takeaway, Delivery	Delivery
10434	Lassi Spot	Kumaraswamy Layout	Beverage Shop	Delivery
10435	Sandwich Hub	Jayanagar	Quick Bites	Delivery
10435	Udupi Sri Krishna Cafe	Jayanagar	Casual Dining	Delivery
10436	Starlite Bakery & Fastfood	Jayanagar	Quick Bites	Delivery
10436	Veganbreak24	City Market	Takeaway, Delivery	Delivery
10437	Aadhya Hotel	Basavanagudi	Casual Dining, Bar	Delivery
10437	Dodda Mane Baaduta	Banashankari	Quick Bites	Delivery
10438	Swadd Kitchen	Basavanagudi	Casual Dining	Delivery
10438	Happy Chopsticks	Basavanagudi	Quick Bites	Delivery
10439	Sai Super Sandwich	Banashankari	Quick Bites	Delivery
10439	Right Pizza	Basavanagudi	Quick Bites	Delivery
10440	Udupi Upachar	Banashankari	Quick Bites	Delivery
10440	Davanagere Benne Dose Hut	Banashankari	Quick Bites	Delivery
10441	The Sip Shop	Basavanagudi	Quick Bites	Delivery
10441	Jalsa	Banashankari	Casual Dining	Delivery
10442	Subz	Jayanagar	Casual Dining	Delivery
10442	Sri Banashankari Upahara	Kumaraswamy Layout	Quick Bites	Delivery
10443	Cafe Shuffle	Banashankari	Cafe	Delivery
10443	Mint and Mustard	Basavanagudi	Casual Dining	Delivery
10444	Chinese Square	Basavanagudi	Quick Bites	Delivery
10444	Hyderabad Express	Banashankari	Quick Bites	Delivery
10445	Punjabi Raswada	Jayanagar	Casual Dining	Delivery
10445	Vinny's	Banashankari	Casual Dining	Delivery
10446	Chetty's Corner	Uttarahalli	Quick Bites	Delivery
10446	Kapoor's Cafe	Jayanagar	Casual Dining	Delivery
10447	Donne Biryani & Kabab Corner	Kumaraswamy Layout	Quick Bites	Delivery
10447	Sukh Sagar	Jayanagar	Casual Dining	Delivery
10448	S M V Snacks Corner	Basavanagudi	Quick Bites	Delivery
10448	Andhra Ruchulu	Jayanagar	Casual Dining, Bar	Delivery
10449	Steaming Mugs	Basavanagudi	Cafe	Delivery
10449	San Churro Cafe	Banashankari	Cafe, Casual Dining	Delivery
10450	Rajathadri Food Fort	Jayanagar	Casual Dining	Delivery
10450	Brew Meister	Jayanagar	Microbrewery, Casual Dining	
